Model,Accuracy,Accuracy_pct,F1_Macro,F1_Weighted
Logistic Regression,0.8647863956864371,86.48%,0.8625180761110114,0.8652597119167551
Linear SVM,0.8641642472003318,86.42%,0.8628742741131099,0.8641582869874195
Naive Bayes,0.7932393197843218,79.32%,0.7817556892767047,0.7923495110148592
